grupo,fonte,url,dados_esperados,periodicidade_alvo,status_projeto,observacao
prefeitura,Portal de Transparencia da Prefeitura,https://fazenda.sorocaba.sp.gov.br/transparencia/,"balancetes de receita e despesa; livros contabeis; LOA; LDO; PPA; RGF; saude; educacao; precatorios; acordaos TCE-SP","mensal; bimestral; quadrimestral; anual",parcial,"fonte central para orcamento e execucao"
prefeitura,Audiencias publicas da Fazenda,https://fazenda.sorocaba.sp.gov.br/audienciapublica/,"LOA; LDO; PPA; anexos; convites; documentos de participacao",anual,lacuna,"usar para rastrear ciclo orcamentario antes da execucao"
tesouro,SICONFI API,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,"RREO; RGF; DCA; MSC; extratos de entrega","mensal; bimestral; quadrimestral; anual",parcial,"fonte federal para validacao cruzada"
saude,SIOPS,https://portalfns.saude.gov.br/siops/,"receita e despesa em saude; ASPS; indicadores de aplicacao","bimestral; anual",parcial,"validar relatorios locais de saude"
saude,Fundo Nacional de Saude,https://portalfns.saude.gov.br/,"repasses SUS; propostas; emendas; pagamentos federais",mensal,lacuna,"cruzar transferencias federais da saude"
educacao,SIOPE FNDE,https://www.gov.br/fnde/pt-br/assuntos/sistemas/siope/relatorios-municipais,"MDE; FUNDEB; receitas e despesas da educacao","bimestral; anual",parcial,"validar relatorios locais de educacao"
educacao,FNDE,https://www.gov.br/fnde/pt-br,"repasses; programas; transferencias legais; convenios",mensal,lacuna,"cruzar PDDE PNAE PNATE e outros programas"
transferencias,Portal da Transparencia Federal,https://portaldatransparencia.gov.br/transferencias,"transferencias constitucionais; legais; voluntarias; emendas; convenios",mensal,lacuna,"filtrar por Sorocaba e favorecidos locais"
transferencias,Transferegov,https://www.gov.br/transferegov/pt-br,"convenios; propostas; instrumentos; pagamentos; prestacao de contas",continua,lacuna,"mapear repasses voluntarios e obras conveniadas"
compras,PNCP,https://www.gov.br/pncp/pt-br,"licitacoes; contratos; atas; contratacoes diretas; contratos com recursos de emendas",continua,lacuna,"obrigatorio para compras sob Lei 14.133/2021"
controle,TCE-SP,https://www.tce.sp.gov.br/,"contas; alertas; pareceres; julgamentos; fiscalizacoes",continua,lacuna,"validar dados locais e registrar apontamentos"
controle,AUDESP TCE-SP,https://www.tce.sp.gov.br/audesp,"dados enviados ao TCE-SP; execucao; contabilidade; contas publicas",continua,lacuna,"fonte de controle externo e cruzamento"
camara,Camara de Sorocaba,https://www.camarasorocaba.sp.gov.br/,"orcamento legislativo; contratos; despesas; remuneracao; atos administrativos",continua,parcial,"separar legislativo do executivo"
camara,Processo legislativo eletronico,https://sorocaba.camarasempapel.com.br/,"leis; projetos; emendas; votacoes; impacto fiscal",continua,parcial,"rastrear origem legal de gastos e beneficios"
urbes,Portal da Urbes,https://www.urbes.com.br/transparencia/index,"relacao mensal de despesas; contratos; compras diretas; licitacoes; recursos humanos",mensal,lacuna,"empresa publica ligada a transporte e mobilidade"
urbes,Contratos de transporte Urbes,https://urbes.com.br/transparencia/contratos-transporte,"contratos de concessao; valores; empresas; vigencia",continua,lacuna,"base essencial para transporte coletivo"
saae,Portal do SAAE,https://www.saaesorocaba.com.br/transparencia/,"receitas; despesas; licitacoes; contratos; obras; RH; e-SIC",mensal,lacuna,"autarquia de agua e esgoto"
funserv,FUNSERV Transparencia,https://funservsorocaba.sp.gov.br/transparencia/portal-da-transpar%C3%AAncia,"balancos; receitas; despesas; investimentos; programacao financeira",mensal,lacuna,"previdencia e saude dos servidores"
funserv,FUNSERV Avaliacao Atuarial,https://www.funservsorocaba.sp.gov.br/administracao-e-planejamento/transparencia-publica/avaliacao-atuarial,"avaliacao atuarial; deficit; aportes; projecoes",anual,lacuna,"camada critica de passivo de longo prazo"
agem,AGEM Sorocaba receitas e despesas,https://www.agemsorocaba.sp.gov.br/habit_ag_sorocaba/transparencia/receitas%20e%20despesas,"receitas; despesas; balancos",mensal,lacuna,"verificar relacao financeira com Sorocaba"
atos,Jornal oficial,https://noticias.sorocaba.sp.gov.br/jornal-do-municipio/,"leis; decretos; nomeacoes; contratos; editais; convenios; creditos adicionais",diaria,lacuna,"fonte para atos que nao aparecem estruturados nos portais"
juridico,Planalto Constituicao,https://www.planalto.gov.br/ccivil_03/Constituicao/constituicao.htm,"base legal: publicidade da administracao publica",eventual,referencia,"usar como fundamento juridico"
juridico,Planalto LRF,https://planalto.gov.br/ccivil_03/leis/lcp/lcp101.htm,"base legal: transparencia fiscal e execucao orcamentaria",eventual,referencia,"arts. 48 e 48-A"
juridico,LAI governo federal,https://www.gov.br/acessoainformacao/pt-br/lai-para-sic/transparencia-ativa/monitoramento-e-avaliacao-de-transparencia-ativa,"base legal: transparencia ativa e divulgacao obrigatoria",eventual,referencia,"art. 8 da LAI"
