id,date,source,area,severity,status,summary,evidence,impact,related_path,solution_id,privacy
P-2026-05-27-001,2026-05-27,Codex,agents,medium,resolved,"/goal was ambiguous: user expected a skill but no local skill or command existed","rg found no /goal command or skill reference","Broad objectives lacked a formal entry point before routing",".claude/commands/goal.md",S-2026-05-27-001,"public sanitized"
P-2026-05-27-002,2026-05-27,Codex,agents,high,resolved,"Agent contract validation failed before the change","validate-agent-contracts reported missing frontino command and alias command missing RAG/handoff mentions","Agent registry and command files were not coherent",".claude/commands/frontino.md; .claude/commands/orquestrador.md",S-2026-05-27-002,"public sanitized"
P-2026-05-27-003,2026-05-27,Codex,editing,medium,resolved,"Patch failed because expected text did not match encoded command files","apply_patch verification failed on command markdown","Large combined patch was brittle against encoding differences",".claude/commands/maestro.md; .claude/commands/orquestrador.md",S-2026-05-27-003,"public sanitized"
P-2026-05-27-004,2026-05-27,Codex,memory,low,resolved,"Token economy writer rejected an entry because privacy text matched blocked terms","write-token-economy validation failed on blocked wording","Economy record could not be saved until wording was sanitized","memory/token-economy/2026-05.md",S-2026-05-27-004,"public sanitized"
P-2026-05-27-005,2026-05-27,Codex,repo,medium,open,"Working tree already had unrelated frontend, docs, and tablet changes","git status showed modified files outside the current agent-memory scope","Risk of overwriting or mixing unrelated work","apps/web; docs/ambiente.md; tools/tablet",S-2026-05-27-005,"public sanitized"
P-2026-05-27-006,2026-05-27,Codex,memory,medium,resolved,"No central public base existed for recurring failures and reusable fixes","User requested consolidated databases for problems and solutions","Operational learning was split across logs and handoffs","memory/knowledge",S-2026-05-27-006,"public sanitized"
P-2026-05-27-007,2026-05-27,Codex,agents,low,resolved,"start-topic still reported the old orchestrator token budget after Maestro became learning router","validate-area agents output showed orquestrador budget under the old target","Local tooling could contradict the updated routing docs","tools/agents/start-topic.py; tools/agents/plan-route.py",S-2026-05-27-007,"public sanitized"
P-2026-05-27-008,2026-05-27,Antigravity,frontend,high,resolved,"ESLint validate-area frontend failed due to synchronous setState in useEffect and unused ShieldAlert import","npm run lint reported 2 errors (Avoid calling setState() directly within an effect) and 1 warning (unused ShieldAlert)","TypeScript build completed successfully but ESLint blocked compilation in frontend validation area check","apps/web/components/layout/shell-header.tsx; apps/web/components/ui/theme-switcher.tsx",S-2026-05-27-008,"public sanitized"
P-2026-05-27-009,2026-05-27,Codex,agents,medium,resolved,"Maestro could record lessons but had no explicit confidence level for solo decisions","User asked whether Maestro learns alone and how to let it make some decisions independently","Without confidence gates, autonomy could be interpreted too broadly","memory/agents/maestro-confidence-levels.csv; memory/agents/maestro-confidence-state.csv",S-2026-05-27-009,"public sanitized"
P-2026-05-27-010,2026-05-27,Codex,agents,medium,resolved,"Maestro had no concrete training/eval suite for routing quality","User approved building the learning/eval system starting with Maestro","Confidence promotion lacked repeatable cases and C3 readiness criteria","memory/training/maestro; tools/agents/eval-maestro-training.py",S-2026-05-27-010,"public sanitized"
P-2026-05-27-011,2026-05-27,Codex,agents,medium,resolved,"Missing-data route started with analista instead of Frontino","plan-route returned analista -> dados -> pipeline for dados faltantes, while Maestro contract says Frontino score first","Coverage workflows could skip the official LAI score and roadmap","tools/agents/plan-route.py",S-2026-05-27-011,"public sanitized"
P-2026-05-27-012,2026-05-27,Codex,scope,medium,resolved,"Scope gate rejected literal package-manager commands inside plan-route regex","check-scope-gates flagged risky automation command literals in tools/agents/plan-route.py","Local automations could normalize unsafe command text and fail scope validation","tools/agents/plan-route.py",S-2026-05-27-012,"public sanitized"
P-2026-05-27-013,2026-05-27,Codex,agents,medium,resolved,"Maestro could not perceive Antigravity/Gemini changes without an active watcher","User expected Maestro to notice external file changes without being explicitly asked","LLM sessions are reactive unless a local process feeds them state","tools/agents/watch-worktree.py",S-2026-05-27-013,"public sanitized"
P-2026-05-27-014,2026-05-27,Codex,tablet,medium,resolved,"Maestro Watch state was local-only and invisible on the tablet monitor","The watcher wrote .local JSON, while the tablet web monitor reads files from C:\Omega\tmp","User could not see near-real-time routing alerts on the tablet without asking the agent","tools/agents/watch-worktree.py; tools/agents/start-maestro-watch.ps1; tools/tablet/start-tablet-web-monitor.ps1",S-2026-05-27-014,"public sanitized"
P-2026-05-27-015,2026-05-27,Codex,governance,high,resolved,"No mandatory model-level signature log existed for changes across AI tools","User required every project, ONG, editor, agent, and model change to show who did what","Concurrent AI work could become hard to audit before commit or handoff","memory/provenance; AI_MASTER_PROMPT.md; CODEX.md; CLAUDE.md; ORQUESTRADOR.md; AGENTS.md",S-2026-05-27-015,"public sanitized"
P-2026-05-27-016,2026-05-27,Codex,publication,high,resolved,"Strict publication validation blocks deploy because public CSV files are missing manifest pattern coverage","validate-area publication reported 8 SEM PADRAO NO MANIFESTO entries under data/public/sorocaba","Deploy should wait until manifest/publication consistency is fixed or explicitly accepted as a known release risk","data/public/sorocaba; data/manifests",S-2026-05-27-016,"public sanitized"
P-2026-05-27-017,2026-05-27,Codex,privacy,medium,open,"Browser remote debugging exposed unrelated personal tabs while checking Antigravity/Gemini activity","Remote debug page list included pages outside the project test surface","Agents should avoid inspecting browser page contents unless the target is explicitly project-scoped","local browser debug session",S-2026-05-27-017,"public sanitized"
P-2026-05-27-018,2026-05-27,Codex,frontend,medium,open,"Antigravity sandbox dev server reports a React hydration mismatch for the html data-theme attribute","Next dev log shows server HTML missing client data-theme=carbon while layout script and theme switcher both mutate documentElement","The visual preview can be misleading and should be fixed before treating the sandbox UI as clean","apps/web/app/layout.tsx; apps/web/components/ui/theme-switcher.tsx",S-2026-05-27-018,"public sanitized"
P-2026-05-27-019,2026-05-27,Codex,frontend,low,resolved,"PowerShell Start-Process rejected using the same file for stdout and stderr redirection","Attempt to start the official frontend dev server with a single combined log failed","Local preview startup needed a retry with separate output and error logs",".local/agents/official-ui-dev-3001.out.log; .local/agents/official-ui-dev-3001.err.log",S-2026-05-27-019,"public sanitized"
P-2026-05-28-001,2026-05-28,Codex,frontend,medium,resolved,"Next production build failed on corrupted generated route types","validate-area frontend failed in .next/dev/types/routes.d.ts with TypeScript syntax error","Generated dev cache can block production validation even when source code is valid","apps/web/.next/dev/types",S-2026-05-28-001,"public sanitized"
P-2026-05-28-002,2026-05-28,Codex,frontend,medium,resolved,"Recursive .next cleanup hit locked Turbopack cache files","Remove-Item apps/web/.next timed out with access denied on .next/dev/cache/turbopack meta files","A running next dev process can lock cache files and make broad cleanup noisy or unsafe","apps/web/.next; local next dev process on port 3001",S-2026-05-28-002,"public sanitized"
P-2026-05-28-003,2026-05-28,Codex,deploy,high,resolved,"Local deploy from the main checkout would have included uncommitted frontend and tablet changes","git status showed main at committed SHA with additional unstaged app and tablet modifications","Production deploy must use the exact validated commit, not the dirty working tree","git worktree; Vercel deployment",S-2026-05-28-003,"public sanitized"
P-2026-05-28-004,2026-05-28,Codex,deploy,medium,resolved,"Vercel Git deployment for the pushed commit was canceled","Vercel deployment list showed target production state CANCELED for commit 7743bf5","Push alone did not leave production on the validated commit","Vercel project anatomia-do-gasto",S-2026-05-28-004,"public sanitized"
P-2026-05-28-005,2026-05-28,Codex,deploy,medium,resolved,"Clean worktree deploy without the project link created a temporary Vercel project and detected Python","vercel deploy from C:\Omega\tmp\adg-deploy-7743bf5 created adg-deploy-7743bf5 and failed with no Python entrypoint","Unversioned .vercel/project.json must be supplied when deploying from a clean temporary worktree","C:\Omega\tmp\adg-deploy-7743bf5; .vercel/project.json",S-2026-05-28-005,"public sanitized"
P-2026-05-28-006,2026-05-28,Codex,deploy,low,resolved,"Vercel logs command implicitly followed deployment logs and rejected --since filtering","vercel logs deployment-url --since 1h failed because implicit follow does not support filtering","Post-deploy error scan needed --no-follow or project-level production filters","Vercel CLI logs",S-2026-05-28-006,"public sanitized"
P-2026-05-28-007,2026-05-28,Codex,powershell,low,resolved,"Inline PowerShell smoke-test pipeline failed with an empty pipe parser error","The foreach try/catch expression piped directly to Format-Table produced an empty pipe parse error","Store foreach output in a variable before piping when the script is dense or multi-branch","PowerShell smoke test",S-2026-05-28-007,"public sanitized"
P-2026-05-28-008,2026-05-28,Codex,frontend,high,resolved,"Frontend build passed while theme CSS compatibility tokens were missing","Subagent review found app-wide uses of --blue-* --green-* and --font-ibm-plex-mono after globals.css moved to new theme tokens","Build and lint do not detect undefined CSS custom properties, causing broad visual regression risk","apps/web/app/globals.css; apps/web/app/page.tsx; apps/web/app/sobre/page.tsx; apps/web/app/sobre/fundador/page.tsx",S-2026-05-28-008,"public sanitized"
P-2026-05-28-009,2026-05-28,Codex,frontend,high,resolved,"Home page overstated Sorocaba coverage as complete","Subagent review found hardcoded text saying cobertura completa de dados 2020-2025 while calc_score reports 79.7%","Editorial copy must match audited coverage and declared lacunas","apps/web/app/page.tsx; tools/diagnostico/calc_score.py",S-2026-05-28-009,"public sanitized"
P-2026-05-28-010,2026-05-28,Codex,frontend,medium,resolved,"Header dropdown controls lacked complete accessibility state","Subagent review found area and mobile menu buttons missing aria-expanded, aria-haspopup, aria-controls, or localized label","Interactive navigation can pass lint while remaining weak for assistive technology","apps/web/components/layout/shell-header.tsx",S-2026-05-28-010,"public sanitized"
P-2026-05-28-011,2026-05-28,Codex,tablet,high,resolved,"Tablet Wi-Fi monitor could serve the entire C:\Omega\tmp directory","Subagent review found start-tablet-web-monitor.ps1 serving MonitorRoot with python http.server and allowing Wi-Fi bind","Operational temp files can contain local logs or status beyond the monitor allowlist","tools/tablet/start-tablet-web-monitor.ps1; tools/tablet/README.md",S-2026-05-28-011,"public sanitized"
P-2026-05-28-012,2026-05-28,Codex,tablet,medium,resolved,"Tablet scripts still had old repository defaults after workspace reorganization","Subagent review found update-tablet-status.ps1 and sync-anatomia-tablet.ps1 defaulting to C:\Omega\02_Repos\anatomia-do-gasto","Manual execution could fail or operate on a stale path even though wrappers passed a dynamic repo","tools/tablet/update-tablet-status.ps1; tools/tablet/sync-anatomia-tablet.ps1",S-2026-05-28-012,"public sanitized"
P-2026-05-28-013,2026-05-28,Codex,tablet,medium,resolved,"Tablet web monitor PID file could mask a wrong or stale server","Subagent review found the script only checked whether the saved PID existed, not whether it matched python http.server, port, and monitor root","A reused PID or old monitor server could make the script report success while serving the wrong content","tools/tablet/start-tablet-web-monitor.ps1",S-2026-05-28-013,"public sanitized"
P-2026-05-28-014,2026-05-28,Codex,verification,low,resolved,"Headless Chrome screenshots captured skeleton loaders before hydration completed","Initial screenshots for / and /sorocaba/dados showed only loading skeletons despite HTTP 200","Visual QA needs render wait, not just immediate screenshot after navigation","C:\Omega\tmp\adg-screenshots-20260528",S-2026-05-28-014,"public sanitized"
P-2026-05-28-015,2026-05-28,Codex,tablet,medium,resolved,"Tablet ADB status loop timed out every cycle","Loop log showed repeated 45s timeouts because update-tablet-status pushed hundreds of omega-security-alerts and omega-security-triggers files every cycle","Continuous tablet sync should prioritize current status and avoid bulk historical archives","tools/tablet/update-tablet-status.ps1; tools/tablet/tablet-status-adb-loop.ps1",S-2026-05-28-015,"public sanitized"
P-2026-05-28-016,2026-05-28,Codex,local-env,low,resolved,"PowerShell ModuleAnalysisCache repeatedly appeared as an untracked Microsoft directory in the repo root","Running PowerShell validation recreated Microsoft/ after manual cleanup","Local shell cache noise can obscure real working tree changes","Microsoft/; .gitignore",S-2026-05-28-016,"public sanitized"
P-2026-05-28-017,2026-05-28,Codex,deploy,medium,resolved,"Many Vercel production deployments show CANCELED even though production deploys eventually succeed","Recent Vercel history shows GitHub-triggered production deployments on main canceled with build duration 0ms and no logs, followed by READY deployments for the same commit or by a newer commit","Agents may misread CANCELED as a build failure and waste time debugging source code when the deployment was superseded before build","Vercel deployments for project anatomia-do-gasto",S-2026-05-28-017,"public sanitized"
P-2026-05-28-018,2026-05-28,Codex,deploy,medium,resolved,"Duplicate deploy paths race after push to main","For commits 7743bf5 and 560e361, the GitHub integration created a production deployment that was canceled, then a Codex CLI deployment from a clean worktree for the same SHA became READY","Running manual production deploy immediately after push can cancel the GitHub deployment and create confusing history","GitHub integration; Vercel CLI; git worktree deploy flow",S-2026-05-28-018,"public sanitized"
